"anime_id","name","type","episodes","rating","members"
32281,"Kimi no Na wa.","Movie",1,9.37,200630
5114,"Fullmetal Alchemist: Brotherhood","TV",64,9.26,793665
28977,"Gintama°","TV",51,9.25,114262
9253,"Steins;Gate","TV",24,9.17,673572
9969,"Gintama&#039;","TV",51,9.16,151266
32935,"Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou","TV",10,9.15,93351
11061,"Hunter x Hunter (2011)","TV",148,9.13,425855
820,"Ginga Eiyuu Densetsu","OVA",110,9.11,80679
15335,"Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare","Movie",1,9.1,72534
15417,"Gintama&#039;: Enchousen","TV",13,9.11,81109
4181,"Clannad: After Story","TV",24,9.06,456749
28851,"Koe no Katachi","Movie",1,9.05,102733
918,"Gintama","TV",201,9.04,336376
2904,"Code Geass: Hangyaku no Lelouch R2","TV",25,8.98,572888
28891,"Haikyuu!! Second Season","TV",25,8.93,179342
199,"Sen to Chihiro no Kamikakushi","Movie",1,8.93,466254
23273,"Shigatsu wa Kimi no Uso","TV",22,8.92,416397
24701,"Mushishi Zoku Shou 2nd Season","TV",10,8.88,75894
12355,"Ookami Kodomo no Ame to Yuki","Movie",1,8.84,226193
1575,"Code Geass: Hangyaku no Lelouch","TV",25,8.83,715151
263,"Hajime no Ippo","TV",75,8.83,157670
44,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen","OVA",4,8.83,129307
1,"Cowboy Bebop","TV",26,8.82,486824
30276,"One Punch Man","TV",12,8.82,552458
164,"Mononoke Hime","Movie",1,8.81,339556
7311,"Suzumiya Haruhi no Shoushitsu","Movie",1,8.81,240297
17074,"Monogatari Series: Second Season","TV",26,8.8,205959
21939,"Mushishi Zoku Shou","TV",10,8.8,101351
457,"Mushishi","TV",26,8.78,300030
2001,"Tengen Toppa Gurren Lagann","TV",27,8.78,562962
245,"Great Teacher Onizuka","TV",43,8.77,268487
32983,"Natsume Yuujinchou Go","TV",13,8.76,38865
5258,"Hajime no Ippo: New Challenger","TV",26,8.75,88995
28957,"Mushishi Zoku Shou: Suzu no Shizuku","Movie",1,8.75,32266
11665,"Natsume Yuujinchou Shi","TV",13,8.75,98431
